"","time_start","time_end","source","ptcp","age","agebin","spkr","vcm","lex","mwu","voc.type","spkr_bi"
"1",28.31,29.31,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","woman","no","no","no","no","ADU"
"2",36.7,37.85,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","woman","no","no","no","no","ADU"
"3",37.95,38.45,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","woman","no","no","no","no","ADU"
"4",74.03,75.11,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","woman","no","no","no","no","ADU"
"5",174.94,175.9,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"6",177.755,179.115,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"7",181.905,182.525,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"8",183.28,184.28,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"9",185.58,186.28,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"10",187.775,188.955,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"11",211.52,212.76,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","woman","no","no","no","no","ADU"
"12",221.645,223.315,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","woman","no","no","no","no","ADU"
"13",271.51,271.79,"M-F36-C01_131612_050344.eaf","M-F36-C01",17,"(12,18]","girl","no","no","no","no","OTRCHI"
"14",13.953,14.51,"M-F27-C01_134713_052657.eaf","M-F27-C01",16,"(12,18]","girl","no","no","no","no","OTRCHI"
"15",81.47,81.8,"M-F27-C01_134713_052657.eaf","M-F27-C01",16,"(12,18]","woman","no","no","no","no","ADU"
"16",83.6,83.98,"M-F27-C01_134713_052657.eaf","M-F27-C01",16,"(12,18]","woman","no","no","no","no","ADU"
"17",129.27,129.56,"M-F27-C01_134713_052657.eaf","M-F27-C01",16,"(12,18]","woman","no","no","no","no","ADU"
"18",131.75,132.14,"M-F27-C01_134713_052657.eaf","M-F27-C01",16,"(12,18]","woman","no","no","no","no","ADU"
"19",180.29,180.8,"M-F27-C01_134713_052657.eaf","M-F27-C01",16,"(12,18]","girl","no","no","no","no","OTRCHI"
