source,ptcp,time_start,time_end,age,agebin,spkr,vcm,lex,mwu,voc_type,spkr_bi,n_utts_per_file,n_utts_per_min
7707rcd,7793chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2159rcd,7793chi,150,151.69,7,"(6,12]",girl,no,no,no,no,OTRCHI,1,0.2
2159rcd,7793chi,157.68,159.35,7,"(6,12]",man,no,no,no,no,ADU,1,0.2
7604rcd,7793chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3538rcd,7793chi,56.896,57.503,7,"(6,12]",woman,no,no,no,no,ADU,1,0.2
9407rcd,7793chi,31.4,32.44,7,"(6,12]",woman,no,no,no,no,ADU,1,0.2
5026rcd,7793chi,28.25,30.47,7,"(6,12]",girl,no,no,no,no,OTRCHI,2,0.4
5026rcd,7793chi,30.89,32.63,7,"(6,12]",girl,no,no,no,no,OTRCHI,2,0.4
5026rcd,7793chi,253.97,255.04,7,"(6,12]",woman,no,no,no,no,ADU,3,0.6
5026rcd,7793chi,255.59,256.91,7,"(6,12]",woman,no,no,no,no,ADU,3,0.6
5026rcd,7793chi,295.925,297.32,7,"(6,12]",woman,no,no,no,no,ADU,3,0.6
724rcd,7793chi,54.104,58.664,7,"(6,12]",woman,no,no,no,no,ADU,3,0.6
724rcd,7793chi,58.729,61.929,7,"(6,12]",woman,no,no,no,no,ADU,3,0.6
724rcd,7793chi,292.743,295.223,7,"(6,12]",woman,no,no,no,no,ADU,3,0.6
6963rcd,7793chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
552rcd,7793chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
382rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3050rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6306rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9370rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7568rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6279rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6945rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9960rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1300rcd,2523chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5434rcd,3470chi,118.567,119.41,10,"(6,12]",boy,no,no,no,no,OTRCHI,1,0.2
5434rcd,3470chi,135.96,137.38,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,138.499,141.274,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,141.274,142.049,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,142.485,145.192,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,146.456,147.999,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,149.04,149.67,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,153.642,154.589,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5434rcd,3470chi,155.045,156.556,10,"(6,12]",woman,no,no,no,no,ADU,8,1.6
5590rcd,3470chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9851rcd,3470chi,29.36,29.89,10,"(6,12]",girl,no,no,no,no,OTRCHI,2,0.4
9851rcd,3470chi,39.565,40.385,10,"(6,12]",girl,no,no,no,no,OTRCHI,2,0.4
5163rcd,3470chi,28.075,31.015,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,43.08,43.54,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,143.679,144.394,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,145.396,145.95,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,154.337,155.519,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,155.814,156.545,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,157.001,157.897,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
5163rcd,3470chi,181.86,182.99,10,"(6,12]",girl,no,no,no,no,OTRCHI,14,2.8
