age,vcm,vcm_noU,lex,lex_noU
7,0.65625,0.8894117647058822,NA,NA
7,0.7188473520249231,0.7974549310710509,NA,NA
10,1,1,NA,1
10,0.636879432624114,0.8474576271186445,NA,0.7161016949152555
9,0.8843721770551028,0.938104448742747,NA,0.2611218568665376
22,0.6727688787185394,0.9634198213526157,NA,1
2,0,0,NA,NA
22,0.7337164750957853,0.7337164750957853,1,1
22,0.8224351747463364,0.8492433061699644,NA,0.7779794313369633
2,0.577445652173915,0.9297820823244553,NA,NA
2,0.18532818532818554,0.7384615384615385,NA,NA
2,0.4353193773483671,0.945987654320988,NA,NA
24,1,1,0.9185393258426968,0.9185393258426968
13,1,1,NA,1
13,0.7038690476190459,0.7846153846153845,NA,1
7,0.8457556935817816,1,NA,NA
6,0.6742301458671005,1,NA,NA
6,0.6622123236822582,1,NA,NA
9,0,0,NA,NA
16,0.9852744310575637,1,NA,1
6,0.4697986577181203,0.4697986577181203,NA,NA
13,0.39497374343586167,0.8695293146160209,NA,0.9108175061932289
17,1,1,NA,1
17,0.7208053691275159,0.902521008403361,NA,1
6,0.8321167883211649,1,NA,NA
6,0.4473684210526314,0.4473684210526314,NA,NA
4,0.66403162055336,0.66403162055336,NA,NA
4,1,1,NA,NA
